date,ticker,open,high,low,close,label,sessions_num
2021-12-03,GMD,50000.0,50400.0,49000.0,49000.0,0,0
2021-12-06,GMD,49050.0,49500.0,46000.0,47400.0,0,0
2021-12-07,GMD,48300.0,48300.0,47300.0,48000.0,0,0
2021-12-08,GMD,48300.0,49000.0,48100.0,48950.0,0,0
2021-12-09,GMD,48500.0,49000.0,48500.0,48850.0,0,0
2021-12-10,GMD,48800.0,49100.0,48300.0,48700.0,0,0
2021-12-13,GMD,49000.0,49150.0,48500.0,48900.0,0,0
2021-12-14,GMD,49000.0,49000.0,48300.0,48700.0,0,0
2021-12-15,GMD,49000.0,50900.0,48950.0,50300.0,0,0
2021-12-16,GMD,50700.0,50700.0,49500.0,49500.0,0,0
2021-12-17,GMD,49300.0,49650.0,49000.0,49300.0,0,0
2021-12-20,GMD,49300.0,49300.0,48100.0,48200.0,0,0
2021-12-21,GMD,48200.0,48300.0,47500.0,47650.0,0,0
2021-12-22,GMD,47650.0,48600.0,47600.0,47750.0,0,0
2021-12-23,GMD,47800.0,47800.0,45000.0,46300.0,0,0
2021-12-24,GMD,46200.0,46800.0,45300.0,45750.0,0,0
2021-12-27,GMD,46000.0,46200.0,45350.0,45800.0,0,0
2021-12-28,GMD,45500.0,46300.0,45500.0,45750.0,0,0
2021-12-29,GMD,45850.0,46200.0,45700.0,45950.0,0,0
2021-12-30,GMD,46050.0,47600.0,46050.0,47300.0,0,0
2021-12-31,GMD,47100.0,47300.0,46500.0,47300.0,0,0
2022-01-04,GMD,47500.0,47650.0,47000.0,47400.0,0,0
2022-01-05,GMD,47500.0,47950.0,47200.0,47600.0,0,0
2022-01-06,GMD,47500.0,47600.0,46800.0,46800.0,0,0
2022-01-07,GMD,46800.0,48750.0,46800.0,48150.0,0,0
2022-01-10,GMD,48150.0,48150.0,46500.0,46500.0,0,0
2022-01-11,GMD,46200.0,47000.0,45800.0,45800.0,0,0
2022-01-12,GMD,45900.0,46550.0,43500.0,44350.0,0,0
2022-01-13,GMD,45000.0,45400.0,44000.0,44000.0,0,0
2022-01-14,GMD,43900.0,44000.0,42800.0,42800.0,0,0
2022-01-17,GMD,43000.0,43800.0,40500.0,40500.0,0,0
2022-01-18,GMD,39950.0,41600.0,39950.0,41150.0,0,0
2022-01-19,GMD,41150.0,42500.0,41150.0,41500.0,0,0
2022-01-20,GMD,42000.0,42400.0,41800.0,42050.0,0,0
2022-01-21,GMD,42450.0,42600.0,42000.0,42000.0,0,0
2022-01-24,GMD,42100.0,42100.0,40650.0,40900.0,0,0
2022-01-25,GMD,40400.0,43050.0,40400.0,43000.0,0,0
2022-01-26,GMD,43850.0,43850.0,42000.0,42000.0,0,0
2022-01-27,GMD,42000.0,43150.0,42000.0,42300.0,0,0
2022-01-28,GMD,42500.0,43250.0,42050.0,43000.0,0,0
2022-02-07,GMD,43850.0,46000.0,43850.0,46000.0,0,0
2022-02-08,GMD,46450.0,47500.0,46000.0,46650.0,0,0
2022-02-09,GMD,47000.0,48500.0,46500.0,48500.0,0,0
2022-02-10,GMD,48400.0,48400.0,47500.0,47750.0,0,0
2022-02-11,GMD,47750.0,48700.0,47500.0,48350.0,0,0
2022-02-14,GMD,48200.0,49700.0,46900.0,48900.0,0,0
2022-02-15,GMD,48900.0,49100.0,48300.0,48900.0,0,0
2022-02-16,GMD,48500.0,49750.0,48500.0,49400.0,0,0
2022-02-17,GMD,50000.0,51300.0,49750.0,51200.0,0,0
2022-02-18,GMD,51000.0,52100.0,50500.0,51900.0,0,0
2022-02-21,GMD,51800.0,52500.0,51200.0,51200.0,0,0
2022-02-22,GMD,50500.0,52400.0,49500.0,52200.0,0,0
2022-02-23,GMD,52200.0,53300.0,51900.0,52100.0,0,0
2022-02-24,GMD,51500.0,52800.0,50200.0,51400.0,0,0
2022-02-25,GMD,52000.0,52700.0,50200.0,50500.0,0,0
2022-02-28,GMD,50600.0,51200.0,48900.0,49700.0,0,0
2022-03-01,GMD,50500.0,51500.0,49650.0,50000.0,0,0
2022-03-02,GMD,49700.0,51000.0,48800.0,50900.0,0,0
2022-03-03,GMD,50600.0,54400.0,50100.0,54400.0,0,0
2022-03-04,GMD,56300.0,57000.0,54700.0,55000.0,0,0
2022-03-07,GMD,54900.0,58000.0,54500.0,56000.0,0,0
2022-03-08,GMD,55400.0,56200.0,52600.0,52600.0,0,0
2022-03-09,GMD,52900.0,56200.0,52600.0,56200.0,0,0
2022-03-10,GMD,57000.0,57700.0,54500.0,55000.0,0,0
2022-03-11,GMD,55000.0,56400.0,54500.0,55700.0,0,0
2022-03-14,GMD,55000.0,56200.0,51900.0,51900.0,0,0
2022-03-15,GMD,50500.0,52700.0,49000.0,52400.0,0,0
